id,parent_id,name,type,url_key,url_path,level,status,include_in_menu,product_count,is_leaf,meta_title,meta_description,meta_keywords,thumbnail_url,ancestors
21364,21356,Đấm bốc & Võ thuật,global,dam-boc-vo-thuat,dam-boc-vo-thuat/c21364,4,active,True,1304,True,Đấm bốc & Võ thuật,Đấm bốc & Võ thuật,,https://salt.tikicdn.com/cache/280x280/ts/product/c9/04/32/705c590376cbd1a0ff26163bae5cccb5.jpg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""dam-boc-vo-thuat/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21356, ""level"": ""3"", ""name"": ""Thể thao - Dã ngoại"", ""url_key"": ""the-thao-da-ngoai"", ""full_url_key"": ""dam-boc-vo-thuat/the-thao-da-ngoai"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""the-thao-da-ngoai/c21356""}, {""id"": 21364, ""level"": ""4"", ""name"": ""Đấm bốc & Võ thuật"", ""url_key"": ""dam-boc-vo-thuat"", ""full_url_key"": ""dam-boc-vo-thuat/dam-boc-vo-thuat"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""dam-boc-vo-thuat/c21364""}]"
21388,21382,Adapter - Củ sạc,global,adapter-cu-sac,adapter-cu-sac/c21388,4,active,True,6597,True,Adapter - Củ sạc,Adapter - Củ sạc,,https://salt.tikicdn.com/cache/280x280/ts/product/db/89/22/f46884b9c0b6200a2a5ebbcfa7516d96.jpg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""adapter-cu-sac/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21382, ""level"": ""3"", ""name"": ""Thiết Bị Số - Phụ Kiện Số"", ""url_key"": ""thiet-bi-so-phu-kien-so"", ""full_url_key"": ""adapter-cu-sac/thiet-bi-so-phu-kien-so"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""thiet-bi-so-phu-kien-so/c21382""}, {""id"": 21388, ""level"": ""4"", ""name"": ""Adapter - Củ sạc"", ""url_key"": ""adapter-cu-sac"", ""full_url_key"": ""adapter-cu-sac/adapter-cu-sac"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""adapter-cu-sac/c21388""}]"
21386,21382,Màn hình & miếng dán màn hình,global,man-hinh-mieng-dan-man-hinh,man-hinh-mieng-dan-man-hinh/c21386,4,active,True,1133,True,Màn hình & miếng dán màn hình,Màn hình & miếng dán màn hình,,https://salt.tikicdn.com/assets/img/image.svg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""man-hinh-mieng-dan-man-hinh/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21382, ""level"": ""3"", ""name"": ""Thiết Bị Số - Phụ Kiện Số"", ""url_key"": ""thiet-bi-so-phu-kien-so"", ""full_url_key"": ""man-hinh-mieng-dan-man-hinh/thiet-bi-so-phu-kien-so"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""thiet-bi-so-phu-kien-so/c21382""}, {""id"": 21386, ""level"": ""4"", ""name"": ""Màn hình & miếng dán màn hình"", ""url_key"": ""man-hinh-mieng-dan-man-hinh"", ""full_url_key"": ""man-hinh-mieng-dan-man-hinh/man-hinh-mieng-dan-man-hinh"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""man-hinh-mieng-dan-man-hinh/c21386""}]"
21372,21356,Thể thao dưới nước,global,the-thao-duoi-nuoc,the-thao-duoi-nuoc/c21372,4,active,True,10000,True,Thể thao dưới nước,Thể thao dưới nước,,https://salt.tikicdn.com/cache/280x280/ts/product/6e/ba/51/cd72d3793d7c4a92fe1653ad9f718efa.jpg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""the-thao-duoi-nuoc/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21356, ""level"": ""3"", ""name"": ""Thể thao - Dã ngoại"", ""url_key"": ""the-thao-da-ngoai"", ""full_url_key"": ""the-thao-duoi-nuoc/the-thao-da-ngoai"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""the-thao-da-ngoai/c21356""}, {""id"": 21372, ""level"": ""4"", ""name"": ""Thể thao dưới nước"", ""url_key"": ""the-thao-duoi-nuoc"", ""full_url_key"": ""the-thao-duoi-nuoc/the-thao-duoi-nuoc"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""the-thao-duoi-nuoc/c21372""}]"
21362,21356,Các môn thể dục và yoga,global,cac-mon-the-duc-va-yoga,cac-mon-the-duc-va-yoga/c21362,4,active,True,8342,True,Các môn thể dục và yoga,Các môn thể dục và yoga,,https://salt.tikicdn.com/cache/280x280/ts/product/6e/34/db/6d425729ebcab7f4f3d8e590e2ff19f4.jpg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""cac-mon-the-duc-va-yoga/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21356, ""level"": ""3"", ""name"": ""Thể thao - Dã ngoại"", ""url_key"": ""the-thao-da-ngoai"", ""full_url_key"": ""cac-mon-the-duc-va-yoga/the-thao-da-ngoai"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""the-thao-da-ngoai/c21356""}, {""id"": 21362, ""level"": ""4"", ""name"": ""Các môn thể dục và yoga"", ""url_key"": ""cac-mon-the-duc-va-yoga"", ""full_url_key"": ""cac-mon-the-duc-va-yoga/cac-mon-the-duc-va-yoga"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cac-mon-the-duc-va-yoga/c21362""}]"
21396,21382,Đế Tản Nhiệt Laptop,global,de-tan-nhiet-laptop,de-tan-nhiet-laptop/c21396,4,active,True,4873,True,Đế Tản Nhiệt Laptop,Đế Tản Nhiệt Laptop,,https://salt.tikicdn.com/cache/280x280/ts/product/00/81/97/6af0ec356234427fa9f8dd5d0e7d00a4.jpg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""de-tan-nhiet-laptop/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21382, ""level"": ""3"", ""name"": ""Thiết Bị Số - Phụ Kiện Số"", ""url_key"": ""thiet-bi-so-phu-kien-so"", ""full_url_key"": ""de-tan-nhiet-laptop/thiet-bi-so-phu-kien-so"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""thiet-bi-so-phu-kien-so/c21382""}, {""id"": 21396, ""level"": ""4"", ""name"": ""Đế Tản Nhiệt Laptop"", ""url_key"": ""de-tan-nhiet-laptop"", ""full_url_key"": ""de-tan-nhiet-laptop/de-tan-nhiet-laptop"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""de-tan-nhiet-laptop/c21396""}]"
21402,21382,Gậy tự sướng/ Selfie,global,gay-tu-suong-selfie,gay-tu-suong-selfie/c21402,4,active,True,137,True,Gậy tự sướng/ Selfie,Gậy tự sướng/ Selfie,,https://salt.tikicdn.com/cache/280x280/ts/product/d2/9c/58/140bb0abcaa2b8521e7aa332499c96bd.jpg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""gay-tu-suong-selfie/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21382, ""level"": ""3"", ""name"": ""Thiết Bị Số - Phụ Kiện Số"", ""url_key"": ""thiet-bi-so-phu-kien-so"", ""full_url_key"": ""gay-tu-suong-selfie/thiet-bi-so-phu-kien-so"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""thiet-bi-so-phu-kien-so/c21382""}, {""id"": 21402, ""level"": ""4"", ""name"": ""Gậy tự sướng/ Selfie"", ""url_key"": ""gay-tu-suong-selfie"", ""full_url_key"": ""gay-tu-suong-selfie/gay-tu-suong-selfie"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""gay-tu-suong-selfie/c21402""}]"
21370,21356,"Phụ kiện thể thao, dã ngoại",global,phu-kien-the-thao-da-ngoai,phu-kien-the-thao-da-ngoai/c21370,4,active,True,10000,True,"Phụ kiện thể thao, dã ngoại","Phụ kiện thể thao, dã ngoại",,https://salt.tikicdn.com/cache/280x280/ts/product/93/8e/37/fb5dde553f60b4decdf51c3d7b18a2fa.jpg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""phu-kien-the-thao-da-ngoai/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21356, ""level"": ""3"", ""name"": ""Thể thao - Dã ngoại"", ""url_key"": ""the-thao-da-ngoai"", ""full_url_key"": ""phu-kien-the-thao-da-ngoai/the-thao-da-ngoai"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""the-thao-da-ngoai/c21356""}, {""id"": 21370, ""level"": ""4"", ""name"": ""Phụ kiện thể thao, dã ngoại"", ""url_key"": ""phu-kien-the-thao-da-ngoai"", ""full_url_key"": ""phu-kien-the-thao-da-ngoai/phu-kien-the-thao-da-ngoai"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""phu-kien-the-thao-da-ngoai/c21370""}]"
21404,21382,Hub USB,global,hub-usb,hub-usb/c21404,4,active,True,1247,True,Hub USB | mua hàng quốc tế mua tại | Tiki.vn | Rẻ hơn | Miễn phí vận chuyển | 100% chính hãng,Hub USB | mua hàng quốc tế mua tại | Tiki.vn | Rẻ hơn | Miễn phí vận chuyển | 100% chính hãng,,https://salt.tikicdn.com/cache/280x280/ts/product/12/09/42/99388c4f8b551ab611bad1eee38fc9f5.jpg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""hub-usb/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21382, ""level"": ""3"", ""name"": ""Thiết Bị Số - Phụ Kiện Số"", ""url_key"": ""thiet-bi-so-phu-kien-so"", ""full_url_key"": ""hub-usb/thiet-bi-so-phu-kien-so"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""thiet-bi-so-phu-kien-so/c21382""}, {""id"": 21404, ""level"": ""4"", ""name"": ""Hub USB"", ""url_key"": ""hub-usb"", ""full_url_key"": ""hub-usb/hub-usb"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""hub-usb/c21404""}]"
21390,21382,"Dây sạc, Dây cáp",global,day-sac-day-cap,day-sac-day-cap/c21390,4,active,True,7777,True,"Dây sạc, Dây cáp","Dây sạc, Dây cáp",,https://salt.tikicdn.com/cache/280x280/ts/product/a4/57/4b/7f181c36a724cf38d1568ba298b7b5e6.jpg,"[{""id"": 17166, ""level"": ""2"", ""name"": ""Cross Border - Hàng Quốc Tế"", ""url_key"": ""cross-border-hang-quoc-te"", ""full_url_key"": ""day-sac-day-cap/cross-border-hang-quoc-te"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""cross-border-hang-quoc-te/c17166""}, {""id"": 21382, ""level"": ""3"", ""name"": ""Thiết Bị Số - Phụ Kiện Số"", ""url_key"": ""thiet-bi-so-phu-kien-so"", ""full_url_key"": ""day-sac-day-cap/thiet-bi-so-phu-kien-so"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""thiet-bi-so-phu-kien-so/c21382""}, {""id"": 21390, ""level"": ""4"", ""name"": ""Dây sạc, Dây cáp"", ""url_key"": ""day-sac-day-cap"", ""full_url_key"": ""day-sac-day-cap/day-sac-day-cap"", ""include_in_menu"": ""1"", ""type"": ""global"", ""url_path"": ""day-sac-day-cap/c21390""}]"
