id,master_id,sku,name,url_key,url_path,short_url,type,book_cover,short_description,price,list_price,original_price,badges,badges_new,discount,discount_rate,rating_average,review_count,review_text,favourite_count,thumbnail_url,has_ebook,inventory_status,inventory_type,productset_group_name,is_fresh,seller,is_flower,has_buynow,is_gift_card,salable_type,data_version,day_ago_created,all_time_quantity_sold,meta_title,meta_description,meta_keywords,is_baby_milk,is_acoholic_drink,description,images,warranty_policy,brand,current_seller,other_sellers,specifications,product_links,gift_item_title,services_and_promotions,promitions,stock_item,quantity_sold,categories,breadcrumbs,installment_info_v2,is_seller_in_chat_whitelist,inventory,warranty_info,return_and_exchange_policy,is_tier_pricing_available,is_tier_pricing_eligible,best_price_guaranteed,benefits
76585393,76585393,1074024569422,Ampli Marshall MG30FX Gold (Công suất 30W) Amply Đàn Guitar Điện Combo Amplifier MG30GFX - Kèm Móng Gẩy DreamMaker,ampli-marshall-mg30fx-gold-cong-suat-30w-amply-dan-guitar-dien-combo-amplifier-mg30gfx-kem-mong-gay-dreammaker-p76585393,ampli-marshall-mg30fx-gold-cong-suat-30w-amply-dan-guitar-dien-combo-amplifier-mg30gfx-kem-mong-gay-dreammaker-p76585393.html?spid=76585394,https://tiki.vn/product-p76585393.html?spid=76585394,simple,,"THÔNG SỐ KỸ THUẬT:- Công suất: 30W- Trở Kháng: 4Ω- Kiểu loa: Loa tùy chỉnh (4Ω, 30w)- Bốn kênh: Clean, Crunch, OD1, OD2- Cấu hình loa: 1 × 10- Điều khiển: EQ 3 băng tần, khuếch đại, âm lượng, chín...",5499000,5499000,5499000,"[{'code': 'new_pdp', 'text': 'v1'}]",[],0,0,5,1,(1),0,https://salt.tikicdn.com/cache/280x280/ts/product/62/7e/ea/054c1332be2c69d35dcb499cd05efbc5.jpg,False,available,backorder,,False,,False,True,False,,3300,1012,3,,,,False,False,"<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://salt.tikicdn.com/ts/tmp/62/7e/ea/9c674ab9f8dfc0adb32b0e89e813bfb2.jpg"" alt=""Amply-Marshall-MG30FX-Gold -Cong-Suat 30W-Ampli-Dan-Guitar-Dien-Combo-Amplifier-Tiki"" width=""750"" height=""750"" /></p>
<p style=""text-align: center;""><img src=""https://salt.tikicdn.com/ts/tmp/19/ec/2a/4a988a118c6d4d5f59c8c72a77d71a7b.jpg"" alt=""Chinh-Hang-Amply-Marshall-MG30FX-Gold-Cong-Suat 30W-Ampli-Dan-Guitar-Dien-Combo-Amplifier-Tiki"" width=""750"" height=""750"" /></p>
<p style=""text-align: center;""><img src=""https://salt.tikicdn.com/ts/tmp/85/90/b9/029ddb6a15ca88e62de7bb97f8a78da8.jpg"" alt=""Gia-Re-Amply-Marshall-MG30FX-Gold -Cong-Suat-30W-Ampli-Dan-Guitar-Dien-Combo-Amplifier-Tiki"" width=""750"" height=""750"" /></p>
<p style=""text-align: left;"">THÔNG SỐ KỸ THUẬT:</p>
<p style=""text-align: left;"">- Công suất: 30W<br />- Trở Kháng: 4Ω<br />- Kiểu loa: Loa tùy chỉnh (4Ω, 30w)<br />- Bốn kênh: Clean, Crunch, OD1, OD2<br />- Cấu hình loa: 1 × 10<br />- Điều khiển: EQ 3 băng tần, khuếch đại, âm lượng, chính, chọn FX, mức hồi âm<br />- EQ: EQ 3 băng tần<br />- Đầu vào: Đầu vào thiết bị giắc cắm 1 x 1/4 "", 1 x 3.5mm Aux in<br />- Đầu ra tai nghe: 1 x jack 3.5mm ra tai nghe<br />- Điều khiển: Gain, clean/crunch select, bass, OD1/OD2 select, middle, treble, reverb, volume, tuner, tap, store, FX select, master volume<br />- Footswitch I / O: 1 x 1/4 ″ (kênh, hồi âm, hiệu ứng, chạm)<br />- Hiệu ứng: Reverb, Phaser, Flanger, Delay, Chorus<br />- Các tính năng: Tuner, Tap tempo<br />- Nguồn điện: Cáp AC cố định<br />Marshall MG30GFX là một amply tuyệt vời cho gia đình, phòng thu và các buổi biểu diễn, với vỏ ngoài màu đen và bảng điều khiển bằng vàng, Marshall MG30GFX đưa chúng ta trở lại giao diện của bộ khuếch đại Marshall cổ điển, với công suất 30W và loa 10 ”, MG30GFX là một bộ khuếch đại tuyệt vời cho những người mới chơi guitar cũng như những người chuyên nghiệp. Mang đến cho bạn giai điệu Marshall đích thực, đó là một cách tuyệt vời để thể hiện một số giai điệu khi bạn đang viết hoặc luyện tập. Hiệu ứng và điều khiển tích hợp thu hẹp khoảng cách giữa công nghệ guitar truyền thống và hiện đại, amply guitar có một số tính năng tuyệt vời được tích hợp trong FX kỹ thuật số bao gồm Reverb cổ điển cũng như Chorus, Phaser, Flanger, Delay và Octave.</p><p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>","[{'base_url': 'https://salt.tikicdn.com/ts/product/62/7e/ea/054c1332be2c69d35dcb499cd05efbc5.jpg', 'is_gallery': True, 'label': None, 'large_url': 'https://salt.tikicdn.com/cache/w1200/ts/product/62/7e/ea/054c1332be2c69d35dcb499cd05efbc5.jpg', 'medium_url': 'https://salt.tikicdn.com/cache/w300/ts/product/62/7e/ea/054c1332be2c69d35dcb499cd05efbc5.jpg', 'position': None, 'small_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/62/7e/ea/054c1332be2c69d35dcb499cd05efbc5.jpg', 'thumbnail_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/62/7e/ea/054c1332be2c69d35dcb499cd05efbc5.jpg'}, {'base_url': 'https://salt.tikicdn.com/ts/product/19/ec/2a/756e8a71dc7e31436bf4f819c5f4ccd0.jpg', 'is_gallery': True, 'label': None, 'large_url': 'https://salt.tikicdn.com/cache/w1200/ts/product/19/ec/2a/756e8a71dc7e31436bf4f819c5f4ccd0.jpg', 'medium_url': 'https://salt.tikicdn.com/cache/w300/ts/product/19/ec/2a/756e8a71dc7e31436bf4f819c5f4ccd0.jpg', 'position': None, 'small_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/19/ec/2a/756e8a71dc7e31436bf4f819c5f4ccd0.jpg', 'thumbnail_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/19/ec/2a/756e8a71dc7e31436bf4f819c5f4ccd0.jpg'}, {'base_url': 'https://salt.tikicdn.com/ts/product/85/90/b9/6a8be25ca59f0dcb2f927d8a5ed32017.jpg', 'is_gallery': True, 'label': None, 'large_url': 'https://salt.tikicdn.com/cache/w1200/ts/product/85/90/b9/6a8be25ca59f0dcb2f927d8a5ed32017.jpg', 'medium_url': 'https://salt.tikicdn.com/cache/w300/ts/product/85/90/b9/6a8be25ca59f0dcb2f927d8a5ed32017.jpg', 'position': None, 'small_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/85/90/b9/6a8be25ca59f0dcb2f927d8a5ed32017.jpg', 'thumbnail_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/85/90/b9/6a8be25ca59f0dcb2f927d8a5ed32017.jpg'}, {'base_url': 'https://salt.tikicdn.com/ts/product/b0/11/82/e49ce54c7eb4455d9f5fd991eceeaf80.jpg', 'is_gallery': True, 'label': None, 'large_url': 'https://salt.tikicdn.com/cache/w1200/ts/product/b0/11/82/e49ce54c7eb4455d9f5fd991eceeaf80.jpg', 'medium_url': 'https://salt.tikicdn.com/cache/w300/ts/product/b0/11/82/e49ce54c7eb4455d9f5fd991eceeaf80.jpg', 'position': None, 'small_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/b0/11/82/e49ce54c7eb4455d9f5fd991eceeaf80.jpg', 'thumbnail_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/b0/11/82/e49ce54c7eb4455d9f5fd991eceeaf80.jpg'}]",,"{'id': 144779, 'name': 'Marshall', 'slug': 'marshall'}","{'id': 696, 'sku': '2934967451415', 'name': 'Tiến Mạnh Music', 'link': 'https://tiki.vn/cua-hang/tien-manh-music', 'logo': '75/1e/d3/cfaa9b3efb5ad3b76151be9a62f1b53a.jpg', 'price': 5499000, 'product_id': '76585394', 'store_id': 659, 'is_best_store': False, 'is_offline_installment_supported': None}",[],"[{'name': 'Content', 'attributes': [{'code': 'brand', 'name': 'Thương hiệu', 'value': 'Marshall'}, {'code': 'brand_country', 'name': 'Xuất xứ thương hiệu', 'value': 'Anh'}, {'code': 'item_model_number', 'name': 'Model', 'value': 'Ampli Marshall MG30FX Gold'}, {'code': 'origin', 'name': 'Xuất xứ', 'value': 'Việt Nam'}]}, {'name': 'Operation', 'attributes': [{'code': 'is_warranty_applied', 'name': 'Sản phẩm có được bảo hành không?', 'value': 'Có'}, {'code': 'warranty_form', 'name': 'Hình thức bảo hành', 'value': 'Phiếu bảo hành'}, {'code': 'warranty_time_period', 'name': 'Thời gian bảo hành', 'value': '12'}]}]",[],0 quà tặng kèm,[],[],"{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'text': 'Đã bán 3', 'value': 3}","{'id': 23462, 'name': 'Amply', 'is_leaf': True}","[{'url': '/nha-cua-doi-song/c1883', 'name': 'Nhà Cửa - Đời Sống', 'category_id': 1883}, {'url': '/nhac-cu/c10068', 'name': 'Nhạc cụ', 'category_id': 10068}, {'url': '/amply/c23462', 'name': 'Amply', 'category_id': 23462}, {'url': 'https://tiki.vn/ampli-marshall-mg30fx-gold-cong-suat-30w-amply-dan-guitar-dien-combo-amplifier-mg30gfx-kem-mong-gay-dreammaker-p76585393.html', 'name': 'Ampli Marshall MG30FX Gold (Công suất 30W) Amply Đàn Guitar Điện Combo Amplifier MG30GFX - Kèm Móng Gẩy DreamMaker', 'category_id': 0}]","{'title': 'Trả góp', 'summary': '458.250 ₫/tháng', 'redirect_url': 'https://tiki.vn/installment?masterId=76585393&&spid=76585394', 'details': [{'icon': 'https://salt.tikicdn.com/ts/upload/80/4b/1e/c0c30c1f3774074852ff674c047839b4.png', 'summary': 'Qua thẻ tín dụng Visa, Mastercard, JCB.', 'title': 'Trả góp (từ 458.250 ₫/tháng)', 'url': 'https://tiki.vn/installment?masterId=76585393&&spid=76585394'}, {'icon': 'https://salt.tikicdn.com/ts/upload/05/af/b7/13862848562cbf60c76dbd4dbad3fda6.png', 'summary': 'Duyệt hồ sơ nhanh chóng qua công ty tài chính.', 'title': 'Mua trước trả sau 0%', 'url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=76585393&pid=76585394&seller_id=696&qty=1'}]}",True,"{'product_virtual_type': None, 'fulfillment_type': 'dropship'}","[{'name': 'Thời gian bảo hành', 'value': '12 Tháng'}, {'name': 'Hình thức bảo hành', 'value': 'Phiếu bảo hành'}, {'name': 'Nơi bảo hành', 'value': 'Bảo hành bởi nhà bán hàng thông qua Tiki'}, {'name': 'Hướng dẫn bảo hành', 'value': 'Xem chi tiết', 'url': 'https://hotro.tiki.vn/s/article/chinh-sach-bao-hanh-tai-tiki-nhu-the-nao'}]",Đổi trả trong<br><b>30 ngày</b><br>nếu sp lỗi.,False,False,True,"[{'icon': 'https://salt.tikicdn.com/ts/upload/2c/48/44/720434869e103b03aaaf1a104d91ad25.png', 'text': 'Hoàn tiền<br><b>111%</b><br>nếu hàng giả'}, {'icon': 'https://salt.tikicdn.com/ts/upload/4b/a1/23/1606089d5423e5cba05e3820ad39708e.png', 'text': 'Thông tin<br>bảo hành', 'extra_text': 'XEM CHI TIẾT', 'extra_header': 'Thông tin bảo hành', 'extra': [{'name': 'Nhà cung cấp', 'value': 'Tiến Mạnh Music'}, {'name': 'Thời gian bảo hành', 'value': '12 Tháng'}, {'name': 'Hình thức bảo hành', 'value': 'Phiếu bảo hành'}, {'name': 'Nơi bảo hành', 'value': 'Bảo hành bởi nhà bán hàng thông qua Tiki'}, {'name': 'Hướng dẫn bảo hành', 'value': 'Xem chi tiết', 'url': 'https://hotro.tiki.vn/s/article/chinh-sach-bao-hanh-tai-tiki-nhu-the-nao'}]}, {'icon': 'https://salt.tikicdn.com/ts/upload/63/75/6a/144ada409519d72e2978ad2c61bc02a7.png', 'text': 'Đổi trả trong<br><b>30 ngày</b><br>nếu sp lỗi.'}]"
263436967,263436967,7080614889134,Amply Nestamp A12 (150 LOA),amply-nestamp-a12-150-loa-p263436967,amply-nestamp-a12-150-loa-p263436967.html?spid=263436968,https://tiki.vn/product-p263436967.html?spid=263436968,simple,,"Tải trọng: 100 loa ru trong nhà yến Kết nối: USB - SD Trọng lượng: 3.4 kgKích thước: 120x300x490mmNguồn điện: 220V - 240VCó cổng điện dự phòng điện bình 12VAmply A4 sử dụng 2 cổng ra, 1 Volum tổng cho...",1920900,1920900,1920900,"[{'code': 'new_pdp', 'text': 'v1'}]",[],0,0,0,0,Chưa có đánh giá,0,https://salt.tikicdn.com/cache/280x280/ts/product/56/10/37/14779ba771b398871cac1d21404d11d3.jpg,False,available,backorder,,False,,False,True,False,,3300,137,,,,False,False,"Tải trọng: 100 loa ru trong nhà yến Kết nối: USB - SD Trọng lượng: 3.4 kgKích thước: 120x300x490mmNguồn điện: 220V - 240VCó cổng điện dự phòng điện bình 12VAmply A4 sử dụng 2 cổng ra, 1 Volum tổng cho L&amp;RThiết kế theo tiêu chuẩn chuyên nghiệp âm thanh vòm trong nhành nuôi chim yến Xuất sứ: Malaysia Bảo hành: 6 tháng theo tiêu chuẩn của nhà sản xuất<p>Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng).....</p>","[{'base_url': 'https://salt.tikicdn.com/ts/product/56/10/37/14779ba771b398871cac1d21404d11d3.jpg', 'is_gallery': True, 'label': None, 'large_url': 'https://salt.tikicdn.com/cache/w1200/ts/product/56/10/37/14779ba771b398871cac1d21404d11d3.jpg', 'medium_url': 'https://salt.tikicdn.com/cache/w300/ts/product/56/10/37/14779ba771b398871cac1d21404d11d3.jpg', 'position': None, 'small_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/56/10/37/14779ba771b398871cac1d21404d11d3.jpg', 'thumbnail_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/56/10/37/14779ba771b398871cac1d21404d11d3.jpg'}, {'base_url': 'https://salt.tikicdn.com/ts/product/35/ef/07/7a338bf6eaae135ae057909b8ce016c0.jpg', 'is_gallery': True, 'label': None, 'large_url': 'https://salt.tikicdn.com/cache/w1200/ts/product/35/ef/07/7a338bf6eaae135ae057909b8ce016c0.jpg', 'medium_url': 'https://salt.tikicdn.com/cache/w300/ts/product/35/ef/07/7a338bf6eaae135ae057909b8ce016c0.jpg', 'position': None, 'small_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/35/ef/07/7a338bf6eaae135ae057909b8ce016c0.jpg', 'thumbnail_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/35/ef/07/7a338bf6eaae135ae057909b8ce016c0.jpg'}, {'base_url': 'https://salt.tikicdn.com/ts/product/e5/b3/69/bdabd3c091e6f68b4b844e10dbe01458.jpg', 'is_gallery': True, 'label': None, 'large_url': 'https://salt.tikicdn.com/cache/w1200/ts/product/e5/b3/69/bdabd3c091e6f68b4b844e10dbe01458.jpg', 'medium_url': 'https://salt.tikicdn.com/cache/w300/ts/product/e5/b3/69/bdabd3c091e6f68b4b844e10dbe01458.jpg', 'position': None, 'small_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/e5/b3/69/bdabd3c091e6f68b4b844e10dbe01458.jpg', 'thumbnail_url': 'https://salt.tikicdn.com/cache/200x280/ts/product/e5/b3/69/bdabd3c091e6f68b4b844e10dbe01458.jpg'}]",,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}","{'id': 187450, 'sku': '6820582661715', 'name': 'Yến Sào Nguyên An ST', 'link': 'https://tiki.vn/cua-hang/yen-sao-nguyen-an-st', 'logo': 'd1/43/50/7503519c54289285877491895d8a047f.jpg', 'price': 1920900, 'product_id': '263436968', 'store_id': 174484, 'is_best_store': False, 'is_offline_installment_supported': None}",[],"[{'name': 'Content', 'attributes': [{'code': 'brand', 'name': 'Thương hiệu', 'value': 'OEM'}, {'code': 'brand_country', 'name': 'Xuất xứ thương hiệu', 'value': 'Việt Nam'}, {'code': 'origin', 'name': 'Xuất xứ', 'value': 'Việt Nam'}]}, {'name': 'Operation', 'attributes': [{'code': 'is_warranty_applied', 'name': 'Sản phẩm có được bảo hành không?', 'value': 'Không'}]}]",[],0 quà tặng kèm,[],[],"{'max_sale_qty': 1000, 'min_sale_qty': 1, 'preorder_date': None, 'qty': 1000}","{'id': 23462, 'name': 'Amply', 'is_leaf': True}","[{'url': '/nha-cua-doi-song/c1883', 'name': 'Nhà Cửa - Đời Sống', 'category_id': 1883}, {'url': '/nhac-cu/c10068', 'name': 'Nhạc cụ', 'category_id': 10068}, {'url': '/amply/c23462', 'name': 'Amply', 'category_id': 23462}, {'url': 'https://tiki.vn/amply-nestamp-a12-150-loa-p263436967.html', 'name': 'Amply Nestamp A12 (150 LOA)', 'category_id': 0}]","{'title': 'Trả góp 0%', 'summary': 'Mua trước trả sau', 'redirect_url': 'https://tiki.vn/mua-truoc-tra-sau/thanh-toan?src=pdp&masterId=263436967&pid=263436968&seller_id=187450&qty=1', 'details': None}",True,"{'product_virtual_type': None, 'fulfillment_type': 'dropship'}","[{'name': 'Hướng dẫn bảo hành', 'value': 'Xem chi tiết', 'url': 'https://hotro.tiki.vn/s/article/chinh-sach-bao-hanh-tai-tiki-nhu-the-nao'}]",Đổi trả trong<br><b>30 ngày</b><br>nếu sp lỗi.,False,False,"[{'icon': 'https://salt.tikicdn.com/ts/upload/2c/48/44/720434869e103b03aaaf1a104d91ad25.png', 'text': 'Hoàn tiền<br><b>111%</b><br>nếu hàng giả'}, {'icon': 'https://salt.tikicdn.com/ts/upload/4b/a1/23/1606089d5423e5cba05e3820ad39708e.png', 'text': 'Thông tin<br>bảo hành', 'extra_text': 'XEM CHI TIẾT', 'extra_header': 'Thông tin bảo hành', 'extra': [{'name': 'Nhà cung cấp', 'value': 'Yến Sào Nguyên An ST'}, {'name': 'Hướng dẫn bảo hành', 'value': 'Xem chi tiết', 'url': 'https://hotro.tiki.vn/s/article/chinh-sach-bao-hanh-tai-tiki-nhu-the-nao'}]}, {'icon': 'https://salt.tikicdn.com/ts/upload/63/75/6a/144ada409519d72e2978ad2c61bc02a7.png', 'text': 'Đổi trả trong<br><b>30 ngày</b><br>nếu sp lỗi.'}]"
51297535,51297535,8562411434024,Ampli Khuếch Đại Âm Thanh Cho Đàn Guitar Acoustic Và Nhạc Cụ Mộc Acoustic JOYO MA-10A (Loa Amplifier 10W) - Kèm Móng Gảy DreamMaker,ampli-khuech-dai-am-thanh-cho-dan-guitar-acoustic-va-nhac-cu-moc-acoustic-joyo-ma-10a-loa-amplifier-10w-kem-mong-gay-dreammaker-p51297535,ampli-khuech-dai-am-thanh-cho-dan-guitar-acoustic-va-nhac-cu-moc-acoustic-joyo-ma-10a-loa-amplifier-10w-kem-mong-gay-dreammaker-p51297535.html?spid=51297536,https://tiki.vn/product-p51297535.html?spid=51297536,simple,,- Model: MA-10A- Nhạc cụ: Acoustic hoặc Ukelele- Kênh có thể chuyển đổi: Bình thường hoặc Sáng- Công suất đầu ra: 10 Watts- Loa: 5 inch; 60 Hz ở 4 Ohms- Yêu cầu về nguồn: Nguồn 9v 1200mA hoặc...,860000,860000,860000,"[{'code': 'new_pdp', 'text': 'v1'}]",[],0,0,4.7,3,(3),0,https://salt.tikicdn.com/cache/280x280/ts/product/7c/a2/17/df36db6e3c13dbb3b200fff4feee1dab.jpg,False,available,backorder,,False,,False,True,False,,3300,1314,11,,,,False,False,"<p style=""text-align: center;""><iframe src=""//www.youtube.com/embed/RReSQEEk6rU?feature=emb_title"" width=""700"" height=""393"" allowfullscreen=""allowfullscreen""></iframe></p>
<p style=""text-align: center;""><img src=""https://salt.tikicdn.com/ts/tmp/7c/a2/17/581b4ecbdb0ee0f497f43bd669ccd75c.jpg"" alt="""" width=""750"" height=""750"" /></p>
<p style=""text-align: center;""><img src=""https://salt.tikicdn.com/ts/tmp/c1/d5/92/28a94ed47a4221d79fcb62855d922cd6.jpg"" alt="""" width=""750"" height=""750"" /></p>
<p style=""text-align: center;""><img src=""https://salt.tikicdn.com/ts/tmp/dc/38/12/c936d18215ed2422949f2b621f1c4e61.jpg"" alt="""" width=""750"" height=""750"" /></p>
<p>- Model: MA-10A</p>
